Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,Bytes,Center Name,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,Experiment,GEO_Accession (exp),Instrument,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,Sample Name,time,group,SRA Study,treatment,strain,tissue
SRR6436182,RNA-Seq,202,9262355288,PRJNA428303,SAMN08287088,5237760610,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3527652,GSM2911230,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2019-10-22T00:00:00Z,GSM2911230,ZT8,HFD,SRP127946,"12 wk High Fat Diet (Research Diet\, D12331)",C57BL/6J,liver
SRR6436183,RNA-Seq,202,11588483460,PRJNA428303,SAMN08287051,6455392882,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3527653,GSM2911231,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2019-10-22T00:00:00Z,GSM2911231,ZT8,HFD,SRP127946,"12 wk High Fat Diet (Research Diet\, D12331)",C57BL/6J,liver
SRR6436184,RNA-Seq,202,8820907114,PRJNA428303,SAMN08287049,2986910926,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3527654,GSM2911232,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2019-10-22T00:00:00Z,GSM2911232,ZT8,HFD,SRP127946,"12 wk High Fat Diet (Research Diet\, D12331)",C57BL/6J,liver
SRR6436185,RNA-Seq,202,10552089938,PRJNA428303,SAMN08287048,5869137727,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3527655,GSM2911233,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2019-10-22T00:00:00Z,GSM2911233,ZT12,HFD,SRP127946,"12 wk High Fat Diet (Research Diet\, D12331)",C57BL/6J,liver
SRR6436186,RNA-Seq,202,11003143010,PRJNA428303,SAMN08287047,6118180980,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3527656,GSM2911234,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2019-10-22T00:00:00Z,GSM2911234,ZT12,HFD,SRP127946,"12 wk High Fat Diet (Research Diet\, D12331)",C57BL/6J,liver
SRR6436187,RNA-Seq,202,7819216182,PRJNA428303,SAMN08287046,2634322201,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3527657,GSM2911235,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2019-10-22T00:00:00Z,GSM2911235,ZT12,HFD,SRP127946,"12 wk High Fat Diet (Research Diet\, D12331)",C57BL/6J,liver
SRR6436188,RNA-Seq,202,11477396994,PRJNA428303,SAMN08287050,6410195395,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3527658,GSM2911236,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2019-10-22T00:00:00Z,GSM2911236,ZT16,HFD,SRP127946,"12 wk High Fat Diet (Research Diet\, D12331)",C57BL/6J,liver
SRR6436189,RNA-Seq,202,12516691438,PRJNA428303,SAMN08287045,6916176536,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3527659,GSM2911237,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2019-10-22T00:00:00Z,GSM2911237,ZT16,HFD,SRP127946,"12 wk High Fat Diet (Research Diet\, D12331)",C57BL/6J,liver
SRR6436190,RNA-Seq,202,7632137922,PRJNA428303,SAMN08287044,2554613717,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3527660,GSM2911238,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2019-10-22T00:00:00Z,GSM2911238,ZT16,HFD,SRP127946,"12 wk High Fat Diet (Research Diet\, D12331)",C57BL/6J,liver
SRR6436191,RNA-Seq,202,7829073782,PRJNA428303,SAMN08287043,2618209604,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3527661,GSM2911239,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2019-10-22T00:00:00Z,GSM2911239,ZT20,HFD,SRP127946,"12 wk High Fat Diet (Research Diet\, D12331)",C57BL/6J,liver
SRR6436192,RNA-Seq,202,11826781244,PRJNA428303,SAMN08287042,6520843018,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3527662,GSM2911240,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2019-10-22T00:00:00Z,GSM2911240,ZT20,HFD,SRP127946,"12 wk High Fat Diet (Research Diet\, D12331)",C57BL/6J,liver
SRR6436193,RNA-Seq,202,8139186808,PRJNA428303,SAMN08287041,2707554081,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3527663,GSM2911241,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2019-10-22T00:00:00Z,GSM2911241,ZT20,HFD,SRP127946,"12 wk High Fat Diet (Research Diet\, D12331)",C57BL/6J,liver
